idQuad;hg.x;hg.y;hd.x;hd.y;bd.x;bd.y;bg.x;bg.y
0;1239;457;1284;456;1288;505;1241;501
1;1288;505;1340;506;1342;556;1290;555
2;1339;459;1385;458;1390;506;1340;506
3;1342;556;1392;557;1393;607;1343;606
4;1243;558;1290;555;1292;605;1245;601
5;1292;605;1343;606;1343;653;1298;653
6;1390;506;1439;508;1441;558;1392;557
7;1393;607;1443;608;1443;654;1398;655
8;1441;558;1490;559;1493;609;1443;608
9;1489;509;1538;510;1540;560;1490;559
10;1493;609;1542;610;1542;656;1498;657
11;1540;560;1588;561;1590;611;1542;610
12;1588;510;1636;512;1638;562;1588;561
13;1590;611;1640;612;1639;658;1595;659
14;1638;562;1686;562;1688;613;1640;612
15;1686;512;1733;514;1735;563;1686;562
16;1688;613;1735;612;1735;660;1691;660
17;1735;563;1782;564;1782;614;1735;612
18;1782;514;1828;515;1830;566;1782;564
19;1782;614;1831;614;1830;661;1787;661
20;1830;566;1878;566;1878;615;1831;614
21;1876;516;1924;516;1926;566;1878;566
22;1878;615;1925;615;1925;662;1883;663
23;1926;566;1972;566;1973;616;1925;615
24;1972;517;2018;518;2019;567;1972;566
25;1973;616;2020;616;2018;664;1975;662
26;2019;567;2066;568;2066;617;2020;616
27;2066;518;2112;518;2113;568;2066;568
28;2066;617;2114;618;2110;665;2068;663
29;2113;568;2159;569;2160;618;2114;618
30;2160;519;2206;520;2206;569;2159;569
31;2160;618;2206;618;2202;665;2161;663
32;2206;569;2252;570;2252;618;2206;618
33;2251;520;2298;520;2296;570;2252;570
34;2252;618;2297;618;2294;665;2253;664
35;2296;570;2343;570;2342;619;2297;618
36;2343;522;2389;522;2388;570;2343;570
37;2342;619;2388;619;2384;666;2344;665
38;2388;570;2431;574;2429;618;2388;619
39;2301;474;2342;475;2343;522;2298;520
40;2393;475;2433;476;2431;520;2389;522
41;2208;472;2250;474;2251;520;2206;520
42;2115;471;2157;473;2160;519;2112;518
43;2021;470;2064;471;2066;518;2018;518
44;1926;468;1969;470;1972;517;1924;516
45;1831;467;1874;468;1876;516;1828;515
46;1735;465;1779;467;1782;514;1733;514
47;1636;464;1681;464;1686;512;1636;512
48;1539;463;1583;462;1588;510;1538;510
49;1439;461;1485;460;1489;509;1439;508
